sample	Chrom	Start	End	value
TCGA-E9-A1RG-01A	3	46265209	46324833	0.0688
TCGA-E9-A1RG-01A	3	46342678	47501899	-0.2306
TCGA-E9-A1RG-01A	3	47506462	47957097	0.1159
TCGA-E9-A1RG-01A	3	47960501	55603735	-0.225
TCGA-E9-A1RG-01A	3	55604266	55604497	-1.2454
TCGA-E9-A1RG-01A	3	55607137	56904371	-0.21899999999999997
TCGA-E9-A1RG-01A	3	56906381	56907940	1.2023
TCGA-E9-A1RG-01A	3	56908042	63851213	-0.2335
TCGA-E9-A1RG-01A	3	63852069	67225635	0.1509
TCGA-E9-A1RG-01A	3	67225824	71563065	-0.2134
TCGA-E9-A1RG-01A	3	71569052	72946391	0.1414
TCGA-E9-A1RG-01A	3	72950753	80818776	-0.2029
TCGA-E9-A1RG-01A	3	80820470	80838276	0.1383
TCGA-E9-A1RG-01A	3	80838466	80873445	-0.1462
TCGA-E9-A1RG-01A	3	80876082	81123333	0.1477
TCGA-E9-A1RG-01A	3	81133494	81170906	-0.2511
TCGA-E9-A1RG-01A	3	81177283	81271794	0.1747
TCGA-E9-A1RG-01A	3	81272629	82256765	-0.237
TCGA-E9-A1RG-01A	3	82258140	105638015	-0.1931
TCGA-E9-A1RG-01A	3	105639844	126602769	-0.2285
TCGA-E9-A1RG-01A	3	126607273	135957570	0.1381
TCGA-E9-A1RG-01A	3	135959425	136870540	0.3977
TCGA-E9-A1RG-01A	3	136885553	136889199	-0.5727
TCGA-E9-A1RG-01A	3	136890948	137717825	0.4031
TCGA-E9-A1RG-01A	3	137723070	156919129	0.1544
TCGA-E9-A1RG-01A	3	156920968	157150016	0.4271
TCGA-E9-A1RG-01A	3	157150220	166614319	0.1553
TCGA-E9-A1RG-01A	3	166614509	166673353	-0.1453
TCGA-E9-A1RG-01A	3	166673676	187244238	0.1527
TCGA-E9-A1RG-01A	3	187245342	191851784	0.4391
TCGA-E9-A1RG-01A	3	191851845	197812401	0.1444
TCGA-E9-A1RG-01A	4	1059384	11505830	0.0785
TCGA-E9-A1RG-01A	4	11507249	14119192	0.1358
TCGA-E9-A1RG-01A	4	14119965	27349605	0.1087
TCGA-E9-A1RG-01A	4	27350173	44783982	0.1353
TCGA-E9-A1RG-01A	4	44784472	44788551	-0.9414
TCGA-E9-A1RG-01A	4	44789203	60723736	0.1268
TCGA-E9-A1RG-01A	4	60727966	60922000	0.3843
TCGA-E9-A1RG-01A	4	60928050	81558729	0.1236
TCGA-E9-A1RG-01A	4	81560028	81598734	-0.8889
TCGA-E9-A1RG-01A	4	81600614	98104106	0.1213
TCGA-E9-A1RG-01A	4	98104819	149682688	0.085
TCGA-E9-A1RG-01A	4	149689288	150787362	0.3642
TCGA-E9-A1RG-01A	4	150790211	187842528	0.0775
TCGA-E9-A1RG-01A	5	914118	24335357	0.1473
TCGA-E9-A1RG-01A	5	24337032	24692295	0.4262
TCGA-E9-A1RG-01A	5	24692459	75716647	0.1496
TCGA-E9-A1RG-01A	5	75720697	76289308	0.6306
TCGA-E9-A1RG-01A	5	76295636	90054153	0.1469
TCGA-E9-A1RG-01A	5	90057049	108744738	0.1667
TCGA-E9-A1RG-01A	5	108746265	147236818	0.1473
TCGA-E9-A1RG-01A	5	147236829	148380713	0.2604
TCGA-E9-A1RG-01A	5	148383034	150985460	0.1455
TCGA-E9-A1RG-01A	5	150987732	180934240	-0.2372
TCGA-E9-A1RG-01A	6	1011760	23214398	-0.2192
TCGA-E9-A1RG-01A	6	23219774	23644682	0.1721
TCGA-E9-A1RG-01A	6	23647806	26190100	0.4209
TCGA-E9-A1RG-01A	6	26197579	26211120	0.2004
TCGA-E9-A1RG-01A	6	26211167	33020918	-0.23
TCGA-E9-A1RG-01A	6	33029800	37791157	0.1305
TCGA-E9-A1RG-01A	6	37791900	52349007	-0.2147
TCGA-E9-A1RG-01A	6	52354178	53192378	0.1349
TCGA-E9-A1RG-01A	6	53197032	53619687	-0.1982
TCGA-E9-A1RG-01A	6	53622284	55458632	0.159
TCGA-E9-A1RG-01A	6	55458648	56425744	-0.1748
TCGA-E9-A1RG-01A	6	56426017	56427519	-0.8423
TCGA-E9-A1RG-01A	6	56428212	57347009	-0.2291
TCGA-E9-A1RG-01A	6	61527062	62065970	0.1201
TCGA-E9-A1RG-01A	6	62066042	64179984	-0.2174
TCGA-E9-A1RG-01A	6	64180005	64430948	-0.6042
TCGA-E9-A1RG-01A	6	64432472	67128932	-0.1821
TCGA-E9-A1RG-01A	6	67130033	116692390	-0.7375
TCGA-E9-A1RG-01A	6	116695599	120747037	-0.2054
TCGA-E9-A1RG-01A	6	120747140	125809502	0.0345
TCGA-E9-A1RG-01A	6	125811538	125812734	-0.6445
TCGA-E9-A1RG-01A	6	125814985	134903741	0.0314
TCGA-E9-A1RG-01A	6	134910557	135714311	0.5029
TCGA-E9-A1RG-01A	6	135729648	143747978	0.0382
TCGA-E9-A1RG-01A	6	143757509	144034537	0.4852
TCGA-E9-A1RG-01A	6	144036800	151445900	0.0242
TCGA-E9-A1RG-01A	6	151447000	151643069	0.2324
TCGA-E9-A1RG-01A	6	151650105	152147172	0.4835
TCGA-E9-A1RG-01A	6	152147308	168461894	0.3177
TCGA-E9-A1RG-01A	6	168466737	170596889	0.0254
TCGA-E9-A1RG-01A	7	664936	5709591	0.1383
TCGA-E9-A1RG-01A	7	5999270	6416236	0.4208
TCGA-E9-A1RG-01A	7	6422572	6423015	-0.3323
TCGA-E9-A1RG-01A	7	6423420	6695312	0.4164
TCGA-E9-A1RG-01A	7	6698852	10815585	0.1479
TCGA-E9-A1RG-01A	7	10815867	10829912	-0.3397
TCGA-E9-A1RG-01A	7	10832547	11351421	0.1656
TCGA-E9-A1RG-01A	7	11353507	11606886	0.4248
TCGA-E9-A1RG-01A	7	11607531	18563870	0.1532
TCGA-E9-A1RG-01A	7	18566051	18867407	0.4216
TCGA-E9-A1RG-01A	7	19748494	33086063	0.1341
TCGA-E9-A1RG-01A	7	33150545	43928502	0.4201
TCGA-E9-A1RG-01A	7	43931554	43932391	-0.4615
TCGA-E9-A1RG-01A	7	43934815	47885835	0.4268
TCGA-E9-A1RG-01A	7	47893338	48018184	0.6145
TCGA-E9-A1RG-01A	7	48022427	66410562	0.4164
TCGA-E9-A1RG-01A	7	66416428	78402634	0.1223
TCGA-E9-A1RG-01A	7	78405684	91596584	0.163
TCGA-E9-A1RG-01A	7	91599247	92896526	0.4109
TCGA-E9-A1RG-01A	7	92900586	96625108	0.4403
TCGA-E9-A1RG-01A	7	96625207	100773961	0.3904
TCGA-E9-A1RG-01A	7	100780319	108500182	0.1316
TCGA-E9-A1RG-01A	7	108500322	110725156	0.1876
TCGA-E9-A1RG-01A	7	110725397	113019921	0.1453
TCGA-E9-A1RG-01A	7	113021060	115252923	0.4255
TCGA-E9-A1RG-01A	7	115261331	120491356	0.1525
TCGA-E9-A1RG-01A	7	120492775	120494777	1.3578
TCGA-E9-A1RG-01A	7	120494964	146656527	0.1374
TCGA-E9-A1RG-01A	7	146656681	158592540	-0.2388
TCGA-E9-A1RG-01A	8	667625	13092846	0.1269
TCGA-E9-A1RG-01A	8	13092985	13093258	-1.3489
TCGA-E9-A1RG-01A	8	13093516	14120709	0.1633
TCGA-E9-A1RG-01A	8	14121758	14186966	-0.1899
TCGA-E9-A1RG-01A	8	14187286	14303634	0.1208
TCGA-E9-A1RG-01A	8	14311138	20981421	-0.2205
TCGA-E9-A1RG-01A	8	20983341	20986302	-1.7102
TCGA-E9-A1RG-01A	8	20989054	36380565	-0.2357
TCGA-E9-A1RG-01A	8	36381847	37931840	0.1383
TCGA-E9-A1RG-01A	8	37942994	43080575	-0.2287
TCGA-E9-A1RG-01A	8	46547532	47028268	0.7895
TCGA-E9-A1RG-01A	8	47028353	47663565	0.4066
TCGA-E9-A1RG-01A	8	47667799	49481495	0.8068
TCGA-E9-A1RG-01A	8	49483195	50970847	0.4285
TCGA-E9-A1RG-01A	8	50975309	51117470	0.7653
TCGA-E9-A1RG-01A	8	51125159	65239694	0.4171
TCGA-E9-A1RG-01A	8	65239724	71241642	0.3823
TCGA-E9-A1RG-01A	8	71246742	74220186	0.4179
TCGA-E9-A1RG-01A	8	74220336	89228460	0.4427
TCGA-E9-A1RG-01A	8	89232009	101015197	0.4184
TCGA-E9-A1RG-01A	8	101016478	101766935	0.8155
TCGA-E9-A1RG-01A	8	101768364	103131691	0.4092
TCGA-E9-A1RG-01A	8	103132537	119544334	0.4391
TCGA-E9-A1RG-01A	8	119544744	144182542	0.4166
TCGA-E9-A1RG-01A	9	789794	4957902	-0.2413
TCGA-E9-A1RG-01A	9	4958341	7525604	-0.3096
TCGA-E9-A1RG-01A	9	7525813	12702334	-0.2255
TCGA-E9-A1RG-01A	9	12705162	22304998	-0.3082
TCGA-E9-A1RG-01A	9	22305011	117221952	-0.2132
TCGA-E9-A1RG-01A	9	117222925	117660854	0.1449
TCGA-E9-A1RG-01A	9	117661616	138044505	-0.2182
TCGA-E9-A1RG-01A	10	366509	24978174	-0.2225
TCGA-E9-A1RG-01A	10	24988643	25326678	0.1584
TCGA-E9-A1RG-01A	10	25332029	25848926	-0.212
TCGA-E9-A1RG-01A	10	25849046	25851137	-1.3544
TCGA-E9-A1RG-01A	10	25851193	42661690	-0.2134
TCGA-E9-A1RG-01A	10	42667646	43062355	0.1575
TCGA-E9-A1RG-01A	10	43066597	53801885	-0.2123
TCGA-E9-A1RG-01A	10	53802416	57643864	-0.1681
TCGA-E9-A1RG-01A	10	57643897	66289713	-0.2091
TCGA-E9-A1RG-01A	10	66789964	80646518	0.1393
TCGA-E9-A1RG-01A	10	80646815	80660321	-0.3256
TCGA-E9-A1RG-01A	10	80661483	81176270	0.1555
TCGA-E9-A1RG-01A	10	81186077	83759084	0.1783
TCGA-E9-A1RG-01A	10	83764087	114471861	0.1418
TCGA-E9-A1RG-01A	10	114472402	115198508	0.4378
TCGA-E9-A1RG-01A	10	115208588	133411599	0.1386
TCGA-E9-A1RG-01A	11	456012	6712444	-0.7521
TCGA-E9-A1RG-01A	11	6713771	8482196	-0.2256
TCGA-E9-A1RG-01A	11	8482627	8847130	0.1192
TCGA-E9-A1RG-01A	11	8852048	18470330	-0.2237
TCGA-E9-A1RG-01A	11	18473422	19056853	0.4148
TCGA-E9-A1RG-01A	11	19056921	21252622	0.6287
TCGA-E9-A1RG-01A	11	21253621	22972050	-0.2123
TCGA-E9-A1RG-01A	11	22978288	23062771	0.8259
TCGA-E9-A1RG-01A	11	23063355	23164923	-0.2028
TCGA-E9-A1RG-01A	11	23167075	23551175	0.4592
TCGA-E9-A1RG-01A	11	23560489	23974144	-0.2087
TCGA-E9-A1RG-01A	11	23980647	24256378	-0.7686
TCGA-E9-A1RG-01A	11	24258943	50096159	-0.217
TCGA-E9-A1RG-01A	11	50101778	80018272	0.1321
TCGA-E9-A1RG-01A	11	80020591	81979565	0.1728
TCGA-E9-A1RG-01A	11	81984747	82273186	0.3871
TCGA-E9-A1RG-01A	11	82273917	92438840	0.1577
TCGA-E9-A1RG-01A	11	92439044	96426102	-0.2271
TCGA-E9-A1RG-01A	11	96426393	107544055	-0.19899999999999998
TCGA-E9-A1RG-01A	11	107545886	120546792	-0.2259
TCGA-E9-A1RG-01A	11	120546844	134272740	0.1348
TCGA-E9-A1RG-01A	12	780472	13463601	0.4106
TCGA-E9-A1RG-01A	12	13463967	15758462	0.6502
TCGA-E9-A1RG-01A	12	15759194	49858091	0.4229
TCGA-E9-A1RG-01A	12	49858127	53017314	0.618
TCGA-E9-A1RG-01A	12	53017933	57809464	0.3981
TCGA-E9-A1RG-01A	12	57809481	63484582	0.4321
TCGA-E9-A1RG-01A	12	63487230	70598937	0.4048
TCGA-E9-A1RG-01A	12	70599770	76016210	0.4431
TCGA-E9-A1RG-01A	12	76021497	77503612	-0.225
TCGA-E9-A1RG-01A	12	77504331	93670497	-0.1992
TCGA-E9-A1RG-01A	12	93671407	109413626	-0.2318
TCGA-E9-A1RG-01A	12	109414094	109843640	0.1331
TCGA-E9-A1RG-01A	12	109847349	125216538	-0.2357
TCGA-E9-A1RG-01A	12	125216625	125825849	0.115
TCGA-E9-A1RG-01A	12	125835537	132605822	-0.2529
TCGA-E9-A1RG-01A	13	18874255	41071263	-0.2314
TCGA-E9-A1RG-01A	13	41074436	41085500	-1.7974
TCGA-E9-A1RG-01A	13	41087955	70395458	-0.213
TCGA-E9-A1RG-01A	13	70398199	72042807	-0.7256
TCGA-E9-A1RG-01A	13	72043065	72044157	-2.3886
TCGA-E9-A1RG-01A	13	72044189	73711956	-0.7501
TCGA-E9-A1RG-01A	13	73715908	85673121	0.1435
TCGA-E9-A1RG-01A	13	85674989	85675658	0.9887
TCGA-E9-A1RG-01A	13	85678024	96281304	0.147
TCGA-E9-A1RG-01A	13	96286526	96299755	-0.16399999999999998
TCGA-E9-A1RG-01A	13	96302238	107051670	-0.7672
TCGA-E9-A1RG-01A	13	107054784	114226675	-0.2332
TCGA-E9-A1RG-01A	14	20033191	21410148	0.4168
TCGA-E9-A1RG-01A	14	21414490	53425717	0.1557
TCGA-E9-A1RG-01A	14	53439266	54183413	0.4376
TCGA-E9-A1RG-01A	14	54183537	63624083	0.1319
TCGA-E9-A1RG-01A	14	63625662	64243155	0.3872
TCGA-E9-A1RG-01A	14	64243169	64243217	-0.2624
TCGA-E9-A1RG-01A	14	64244659	64290033	0.3765
TCGA-E9-A1RG-01A	14	64290290	64292964	-0.1446
TCGA-E9-A1RG-01A	14	64293026	65096277	0.3792
TCGA-E9-A1RG-01A	14	65103551	95362142	0.1326
TCGA-E9-A1RG-01A	14	95364159	95869030	0.3917
TCGA-E9-A1RG-01A	14	95877933	101817941	0.1301
TCGA-E9-A1RG-01A	14	101820234	101821631	2.2465
TCGA-E9-A1RG-01A	14	101824124	105533894	0.1122
TCGA-E9-A1RG-01A	15	23437561	51397575	-0.2136
TCGA-E9-A1RG-01A	15	51405203	52277111	0.1534
TCGA-E9-A1RG-01A	15	52280678	67559353	-0.2125
TCGA-E9-A1RG-01A	15	67565097	68639820	0.1329
TCGA-E9-A1RG-01A	15	68640738	100408652	-0.2169
TCGA-E9-A1RG-01A	15	100415538	100589412	0.2496
TCGA-E9-A1RG-01A	15	100590222	101344124	-0.2262
TCGA-E9-A1RG-01A	16	603333	3213937	0.8717
TCGA-E9-A1RG-01A	16	3220459	3714791	0.6646
TCGA-E9-A1RG-01A	16	3719142	7317140	0.7056
TCGA-E9-A1RG-01A	16	7319265	13336514	0.6585
TCGA-E9-A1RG-01A	16	13338337	14657199	0.8975
TCGA-E9-A1RG-01A	16	18797068	23630173	0.6148
TCGA-E9-A1RG-01A	16	23633689	26856531	0.6548
TCGA-E9-A1RG-01A	16	26858356	31101091	0.6023
TCGA-E9-A1RG-01A	16	31103114	31841585	0.3279
TCGA-E9-A1RG-01A	16	46470502	67910275	-0.2143
TCGA-E9-A1RG-01A	16	67912234	68180237	0.1139
TCGA-E9-A1RG-01A	16	68182828	68725318	0.597
TCGA-E9-A1RG-01A	16	68730591	69406171	0.1426
TCGA-E9-A1RG-01A	16	69407050	71185569	-0.2032
TCGA-E9-A1RG-01A	16	71191410	71191441	-1.3673
TCGA-E9-A1RG-01A	16	71191662	81257026	-0.2331
TCGA-E9-A1RG-01A	16	81259125	82049689	0.6827
TCGA-E9-A1RG-01A	16	82052416	82126060	0.3313
TCGA-E9-A1RG-01A	16	82126274	89317317	-0.2415
TCGA-E9-A1RG-01A	17	1074619	7680735	-0.2166
TCGA-E9-A1RG-01A	17	7688443	11403776	-0.7548
TCGA-E9-A1RG-01A	17	11403878	11404637	-2.7633
TCGA-E9-A1RG-01A	17	11405832	13466553	-0.7619
TCGA-E9-A1RG-01A	17	13472871	13473976	-2.2052
TCGA-E9-A1RG-01A	17	13477958	17514176	-0.7432
TCGA-E9-A1RG-01A	17	17514292	17746147	-0.3488
TCGA-E9-A1RG-01A	17	17747688	17836145	-0.6681
TCGA-E9-A1RG-01A	17	17846241	18371446	-0.3418
TCGA-E9-A1RG-01A	17	18371465	20389632	-0.6982
TCGA-E9-A1RG-01A	17	20403746	39173757	-0.2095
TCGA-E9-A1RG-01A	17	39176710	39877180	0.11699999999999999
TCGA-E9-A1RG-01A	17	39884459	40256520	0.3788
TCGA-E9-A1RG-01A	17	40260127	55411501	0.1367
TCGA-E9-A1RG-01A	17	55411640	57758262	0.4137
TCGA-E9-A1RG-01A	17	57760549	60722440	0.1257
TCGA-E9-A1RG-01A	17	60725498	64542568	0.4012
TCGA-E9-A1RG-01A	17	64544572	65664112	0.6332
TCGA-E9-A1RG-01A	17	65674713	65754744	0.4271
