miRNA_ID	bcb325b2-78c4-4f93-8e17-0fa6d1144df3
hsa-mir-1294	0.0
hsa-mir-1295a	0.6965271554576169
hsa-mir-1295b	0.0
hsa-mir-1296	1.8000798538278198
hsa-mir-1297	0.0
hsa-mir-1298	0.0
hsa-mir-1299	0.0
hsa-mir-1301	2.0366770445115656
hsa-mir-1302-1	0.0
hsa-mir-1302-10	0.0
hsa-mir-1302-11	0.0
hsa-mir-1302-2	0.0
hsa-mir-1302-3	0.0
hsa-mir-1302-4	0.0
hsa-mir-1302-5	0.0
hsa-mir-1302-6	0.0
hsa-mir-1302-7	0.0
hsa-mir-1302-8	0.0
hsa-mir-1302-9	0.0
hsa-mir-1303	0.0
hsa-mir-1304	0.0
hsa-mir-1305	0.0
hsa-mir-1306	1.8000798538278198
hsa-mir-1307	9.760480302153189
hsa-mir-130a	2.8491962492730427
hsa-mir-130b	2.0366770445115656
hsa-mir-132	5.8133526022507676
hsa-mir-1321	0.0
hsa-mir-1322	0.0
hsa-mir-1323	0.0
hsa-mir-1324	0.0
hsa-mir-133a-1	0.0
hsa-mir-133a-2	1.1642701102492892
hsa-mir-133b	0.0
hsa-mir-134	5.390926269047049
hsa-mir-1343	0.6965271554576169
hsa-mir-135a-1	0.0
hsa-mir-135a-2	0.0
hsa-mir-135b	0.0
hsa-mir-136	2.417971840235612
hsa-mir-137	0.0
hsa-mir-138-1	0.0
hsa-mir-138-2	0.0
hsa-mir-139	5.184840876462476
hsa-mir-140	7.72794487809468
hsa-mir-141	9.945283288847575
hsa-mir-142	10.418041419636916
hsa-mir-143	14.214419332406848
hsa-mir-144	7.2342360120344065
hsa-mir-145	8.945838375613588
hsa-mir-1468	2.8491962492730427
hsa-mir-1469	0.0
hsa-mir-146a	5.8133526022507676
hsa-mir-146b	6.351872862005461
hsa-mir-1470	0.0
hsa-mir-1471	0.0
hsa-mir-147a	0.0
